outcosts 0,outcosts_5,outflow_costs_0,outgoing_costs5,specific_outflow_costs0,variable_outflow_costs 5
outcosts 1,outcosts_6,outflow_costs_1,outgoing_costs6,specific_outflow_costs1,variable_outflow_costs 6
outcosts 2,outcosts_7,outflow_costs_2,outgoing_costs7,specific_outflow_costs2,variable_outflow_costs 7
outcosts 3,outcosts_8,outflow_costs_3,outgoing_costs8,specific_outflow_costs3,variable_outflow_costs 8
outcosts 4,outcosts_9,outflow_costs_4,outgoing_costs9,specific_outflow_costs4,variable_outflow_costs 9
outcosts 5,outflow_costs 0,outflow_costs_5,outgoing_costs_0,specific_outflow_costs5,variable_outflow_costs0
outcosts 6,outflow_costs 1,outflow_costs_6,outgoing_costs_1,specific_outflow_costs6,variable_outflow_costs1
outcosts 7,outflow_costs 2,outflow_costs_7,outgoing_costs_2,specific_outflow_costs7,variable_outflow_costs2
outcosts 8,outflow_costs 3,outflow_costs_8,outgoing_costs_3,specific_outflow_costs8,variable_outflow_costs3
outcosts 9,outflow_costs 4,outflow_costs_9,outgoing_costs_4,specific_outflow_costs9,variable_outflow_costs4
outcosts0,outflow_costs 5,outgoing_costs 0,outgoing_costs_5,specific_outflow_costs_0,variable_outflow_costs5
outcosts1,outflow_costs 6,outgoing_costs 1,outgoing_costs_6,specific_outflow_costs_1,variable_outflow_costs6
outcosts2,outflow_costs 7,outgoing_costs 2,outgoing_costs_7,specific_outflow_costs_2,variable_outflow_costs7
outcosts3,outflow_costs 8,outgoing_costs 3,outgoing_costs_8,specific_outflow_costs_3,variable_outflow_costs8
outcosts4,outflow_costs 9,outgoing_costs 4,outgoing_costs_9,specific_outflow_costs_4,variable_outflow_costs9
outcosts5,outflow_costs0,outgoing_costs 5,specific_outflow_costs 0,specific_outflow_costs_5,variable_outflow_costs_0
outcosts6,outflow_costs1,outgoing_costs 6,specific_outflow_costs 1,specific_outflow_costs_6,variable_outflow_costs_1
outcosts7,outflow_costs2,outgoing_costs 7,specific_outflow_costs 2,specific_outflow_costs_7,variable_outflow_costs_2
outcosts8,outflow_costs3,outgoing_costs 8,specific_outflow_costs 3,specific_outflow_costs_8,variable_outflow_costs_3
outcosts9,outflow_costs4,outgoing_costs 9,specific_outflow_costs 4,specific_outflow_costs_9,variable_outflow_costs_4
outcosts_0,outflow_costs5,outgoing_costs0,specific_outflow_costs 5,variable_outflow_costs 0,variable_outflow_costs_5
outcosts_1,outflow_costs6,outgoing_costs1,specific_outflow_costs 6,variable_outflow_costs 1,variable_outflow_costs_6
outcosts_2,outflow_costs7,outgoing_costs2,specific_outflow_costs 7,variable_outflow_costs 2,variable_outflow_costs_7
outcosts_3,outflow_costs8,outgoing_costs3,specific_outflow_costs 8,variable_outflow_costs 3,variable_outflow_costs_8
outcosts_4,outflow_costs9,outgoing_costs4,specific_outflow_costs 9,variable_outflow_costs 4,variable_outflow_costs_9
