oemof,output,power_efficiency
pypsa,positive_gradient,power_emissions
fine,positive_gradient_costs,power_loss_index
calliope,shutdown_costs,power_out
name,startup_costs,upper_heating_value
latitude,storage_capacity,bus
longitude,conversion_factor_full_condensation,source
region,el_efficiency_wo_dist_heat,sink
sector,enthalpy_loss,transformer
carrier,min_condenser_load,storage
component,power_wo_dist_heat,connector
node_type,inflow_costs,commodity
timeframe,inflow_efficiency,hardcoal
timeindex,inflow_emissions,lignite
timeseries,input_maximum,gas
global_constraints,input_minimum,oil
accumulated_amounts,input_negative_gradient,solar
costs_for_being_active,input_positive_gradient,wind
expandable,outflow_costs,water
expansion_costs,outflow_efficiency,hot_water
expansion_limits,outflow_emissions,steam
fixed_expansion_ratios,output_maximum,biomass
flow_costs,output_minimum,electricity
flow_efficiencies,output_negative_gradient,power
flow_emissions,output_positive_gradient,heat
flow_gradients,efficiencyN,mobility
flow_rates,emissionsN,coupled
gradient_costs,flow_costsN,renewables
idle_changes,fractionN,onshore
initial_soc,inflow_costsN,offshore
initial_status,inflow_emissionsN,photovoltaic
inputs,inputN,solarthermal
interfaces,outflow_costsN,hydro_electric
number_of_status_changes,outflow_emissionsN,imported
status_inertia,outputN,backup
status_changing_costs,already_installed,mimo_transformer
outputs,back_pressure,sito_flex_transformer
accumulated_maximum,fraction,siso_nonlinear_transformer
accumulated_minimum,fuel_in,generic_chp
active,fuelgas_losses,combined_heat_power
efficiency,heat_costs,power_plant
emissions,heat_efficiency,heat_plant
exogenously_set,heat_emissions,electrical_line
exogenously_set_value,heat_in,gas_station
expansion_problem,heat_out,gas_pipeline
gain_rate,ideal,gas_delivery
input,lower_heating_value,oil_delivery
installed_capacity,maximum_extraction,oil_pipeline
loss_rate,maximum_fuelgas_losses,generic_storage
maximum,maximum_heat,electro_chemical_storage
maximum_efficiency,maximum_power,hydro_electrical_storage
maximum_expansion,milp,electro_mechanical_storage
minimum,minimum_extraction,thermal_energy_storage
minimum_efficiency,minimum_fuelgas_losses,power2x
minimum_expansion,minimum_heat,power2heat
minimum_downtime,minimum_power,demand
minimum_uptime,nominal_value,export
negative_gradient,number_of_connections,excess
negative_gradient_costs,power_costs,
